recipeID,Recipe Name,Course,Cuisine,Preparation,Cooking length,Spicy levels,Dairy,Gluten,Vegan,Vegetarian,Link / Location
36,Plaice in a hot vinaigrette,main,Western,fry. grill,Quick,low,0,0,0,0,https://www.bbcgoodfood.com/recipes/plaice-hot-vinaigrette
37,Corned beef hash,main,Western,fry,Quick,low,0,0,0,0,https://www.deliciousmagazine.co.uk/recipes/corned-beef-hash/
38,Balsamic Marinade,side,Western,mix,Quick,low,0,0,1,0,http://en.wikibooks.org/wiki/Cookbook:Balsamic_Marinade
39,Afghan Bread,side,"Afghan, Indian",baked,Long,low,0,1,1,0,http://en.wikibooks.org/wiki/Cookbook:Afghan_bread
40,Bacon Wrapped Asparagus,side,Western,grill,Medium,low,0,0,0,0,https://foodnetwork.co.uk/recipes/asparagus-bundles/
41,Halloumi flatbreads,side,???,fry,Quick,low,0,1,1,0,https://www.bbcgoodfood.com/recipes/halloumi-flatbreads
42,Pan-fried camembert sandwich,snack,Western,fry,Quick,low,0,1,0,1,https://www.bbcgoodfood.com/recipes/pan-fried-camembert-sandwich
43,Easy Chicken Curry,main,Indian,fry,Medium,high,1,0,0,0,https://www.bbcgoodfood.com/recipes/easy-chicken-curry
44,"Frying pan pizza with aubergine, ricotta & mint",main,Western,fry,Medium,low,0,1,1,0,https://www.bbcgoodfood.com/recipes/frying-pan-pizza-aubergine-ricotta-mint
45,Huevos Rancheros,main,Mexican,fry,Quick,high,1,1,0,1,https://www.bbcgoodfood.com/recipes/huevos-rancheros
46,Spaghetti Carbonara,main,Western,fry,Quick,low,1,1,0,1,https://www.bbcgoodfood.com/recipes/ultimate-spaghetti-carbonara-recipe
